,Survival,Pclass,Sex,Age,Count,AgeGroup
0,deceased,lower,male,22.0,1,adults
1,survived,upper,female,38.0,1,adults
2,survived,lower,female,26.0,1,adults
3,survived,upper,female,35.0,1,adults
4,deceased,lower,male,35.0,1,adults
5,deceased,lower,male,,1,Seniors
6,deceased,upper,male,54.0,1,adults
7,deceased,lower,male,2.0,1,children
8,survived,lower,female,27.0,1,adults
9,survived,middle,female,14.0,1,children
10,survived,lower,female,4.0,1,children
11,survived,upper,female,58.0,1,adults
12,deceased,lower,male,20.0,1,adults
13,deceased,lower,male,39.0,1,adults
14,deceased,lower,female,14.0,1,children
15,survived,middle,female,55.0,1,adults
16,deceased,lower,male,2.0,1,children
17,survived,middle,male,,1,Seniors
18,deceased,lower,female,31.0,1,adults
19,survived,lower,female,,1,Seniors
20,deceased,middle,male,35.0,1,adults
21,survived,middle,male,34.0,1,adults
22,survived,lower,female,15.0,1,children
23,survived,upper,male,28.0,1,adults
24,deceased,lower,female,8.0,1,children
25,survived,lower,female,38.0,1,adults
26,deceased,lower,male,,1,Seniors
27,deceased,upper,male,19.0,1,Seniors
28,survived,lower,female,,1,Seniors
29,deceased,lower,male,,1,Seniors
30,deceased,upper,male,40.0,1,adults
31,survived,upper,female,,1,Seniors
32,survived,lower,female,,1,Seniors
33,deceased,middle,male,66.0,1,Seniors
34,deceased,upper,male,28.0,1,adults
35,deceased,upper,male,42.0,1,adults
36,survived,lower,male,,1,Seniors
37,deceased,lower,male,21.0,1,adults
38,deceased,lower,female,18.0,1,children
39,survived,lower,female,14.0,1,children
40,deceased,lower,female,40.0,1,adults
41,deceased,middle,female,27.0,1,adults
42,deceased,lower,male,,1,Seniors
43,survived,middle,female,3.0,1,children
44,survived,lower,female,19.0,1,Seniors
45,deceased,lower,male,,1,Seniors
46,deceased,lower,male,,1,Seniors
47,survived,lower,female,,1,Seniors
48,deceased,lower,male,,1,Seniors
49,deceased,lower,female,18.0,1,children
50,deceased,lower,male,7.0,1,children
51,deceased,lower,male,21.0,1,adults
52,survived,upper,female,49.0,1,adults
53,survived,middle,female,29.0,1,adults
54,deceased,upper,male,65.0,1,Seniors
55,survived,upper,male,,1,Seniors
56,survived,middle,female,21.0,1,adults
57,deceased,lower,male,28.5,1,adults
58,survived,middle,female,5.0,1,children
59,deceased,lower,male,11.0,1,children
60,deceased,lower,male,22.0,1,adults
61,survived,upper,female,38.0,1,adults
62,deceased,upper,male,45.0,1,adults
63,deceased,lower,male,4.0,1,children
64,deceased,upper,male,,1,Seniors
65,survived,lower,male,,1,Seniors
66,survived,middle,female,29.0,1,adults
67,deceased,lower,male,19.0,1,Seniors
68,survived,lower,female,17.0,1,children
69,deceased,lower,male,26.0,1,adults
70,deceased,middle,male,32.0,1,adults
71,deceased,lower,female,16.0,1,children
72,deceased,middle,male,21.0,1,adults
73,deceased,lower,male,26.0,1,adults
74,survived,lower,male,32.0,1,adults
75,deceased,lower,male,25.0,1,adults
76,deceased,lower,male,,1,Seniors
77,deceased,lower,male,,1,Seniors
78,survived,middle,male,0.83,1,children
79,survived,lower,female,30.0,1,adults
80,deceased,lower,male,22.0,1,adults
81,survived,lower,male,29.0,1,adults
82,survived,lower,female,,1,Seniors
83,deceased,upper,male,28.0,1,adults
84,survived,middle,female,17.0,1,children
85,survived,lower,female,33.0,1,adults
86,deceased,lower,male,16.0,1,children
87,deceased,lower,male,,1,Seniors
88,survived,upper,female,23.0,1,adults
89,deceased,lower,male,24.0,1,adults
90,deceased,lower,male,29.0,1,adults
91,deceased,lower,male,20.0,1,adults
92,deceased,upper,male,46.0,1,adults
93,deceased,lower,male,26.0,1,adults
94,deceased,lower,male,59.0,1,adults
95,deceased,lower,male,,1,Seniors
96,deceased,upper,male,71.0,1,Seniors
97,survived,upper,male,23.0,1,adults
98,survived,middle,female,34.0,1,adults
99,deceased,middle,male,34.0,1,adults
100,deceased,lower,female,28.0,1,adults
101,deceased,lower,male,,1,Seniors
102,deceased,upper,male,21.0,1,adults
103,deceased,lower,male,33.0,1,adults
104,deceased,lower,male,37.0,1,adults
105,deceased,lower,male,28.0,1,adults
106,survived,lower,female,21.0,1,adults
107,survived,lower,male,,1,Seniors
108,deceased,lower,male,38.0,1,adults
109,survived,lower,female,,1,Seniors
110,deceased,upper,male,47.0,1,adults
111,deceased,lower,female,14.5,1,children
112,deceased,lower,male,22.0,1,adults
113,deceased,lower,female,20.0,1,adults
114,deceased,lower,female,17.0,1,children
115,deceased,lower,male,21.0,1,adults
116,deceased,lower,male,70.5,1,Seniors
117,deceased,middle,male,29.0,1,adults
118,deceased,upper,male,24.0,1,adults
119,deceased,lower,female,2.0,1,children
120,deceased,middle,male,21.0,1,adults
121,deceased,lower,male,,1,Seniors
122,deceased,middle,male,32.5,1,adults
123,survived,middle,female,32.5,1,adults
124,deceased,upper,male,54.0,1,adults
125,survived,lower,male,12.0,1,children
126,deceased,lower,male,,1,Seniors
127,survived,lower,male,24.0,1,adults
128,survived,lower,female,,1,Seniors
129,deceased,lower,male,45.0,1,adults
130,deceased,lower,male,33.0,1,adults
131,deceased,lower,male,20.0,1,adults
132,deceased,lower,female,47.0,1,adults
133,survived,middle,female,29.0,1,adults
134,deceased,middle,male,25.0,1,adults
135,deceased,middle,male,23.0,1,adults
136,survived,upper,female,19.0,1,Seniors
137,deceased,upper,male,37.0,1,adults
138,deceased,lower,male,16.0,1,children
139,deceased,upper,male,24.0,1,adults
140,deceased,lower,female,,1,Seniors
141,survived,lower,female,22.0,1,adults
142,survived,lower,female,24.0,1,adults
143,deceased,lower,male,19.0,1,Seniors
144,deceased,middle,male,18.0,1,children
145,deceased,middle,male,19.0,1,Seniors
146,survived,lower,male,27.0,1,adults
147,deceased,lower,female,9.0,1,children
148,deceased,middle,male,36.5,1,adults
149,deceased,middle,male,42.0,1,adults
150,deceased,middle,male,51.0,1,adults
151,survived,upper,female,22.0,1,adults
152,deceased,lower,male,55.5,1,adults
153,deceased,lower,male,40.5,1,adults
154,deceased,lower,male,,1,Seniors
155,deceased,upper,male,51.0,1,adults
156,survived,lower,female,16.0,1,children
157,deceased,lower,male,30.0,1,adults
158,deceased,lower,male,,1,Seniors
159,deceased,lower,male,,1,Seniors
160,deceased,lower,male,44.0,1,adults
161,survived,middle,female,40.0,1,adults
162,deceased,lower,male,26.0,1,adults
163,deceased,lower,male,17.0,1,children
164,deceased,lower,male,1.0,1,children
165,survived,lower,male,9.0,1,children
166,survived,upper,female,,1,Seniors
167,deceased,lower,female,45.0,1,adults
168,deceased,upper,male,,1,Seniors
169,deceased,lower,male,28.0,1,adults
170,deceased,upper,male,61.0,1,adults
171,deceased,lower,male,4.0,1,children
172,survived,lower,female,1.0,1,children
173,deceased,lower,male,21.0,1,adults
174,deceased,upper,male,56.0,1,adults
175,deceased,lower,male,18.0,1,children
176,deceased,lower,male,,1,Seniors
177,deceased,upper,female,50.0,1,adults
178,deceased,middle,male,30.0,1,adults
179,deceased,lower,male,36.0,1,adults
180,deceased,lower,female,,1,Seniors
181,deceased,middle,male,,1,Seniors
182,deceased,lower,male,9.0,1,children
183,survived,middle,male,1.0,1,children
184,survived,lower,female,4.0,1,children
185,deceased,upper,male,,1,Seniors
186,survived,lower,female,,1,Seniors
187,survived,upper,male,45.0,1,adults
188,deceased,lower,male,40.0,1,adults
189,deceased,lower,male,36.0,1,adults
190,survived,middle,female,32.0,1,adults
191,deceased,middle,male,19.0,1,Seniors
192,survived,lower,female,19.0,1,Seniors
193,survived,middle,male,3.0,1,children
194,survived,upper,female,44.0,1,adults
195,survived,upper,female,58.0,1,adults
196,deceased,lower,male,,1,Seniors
197,deceased,lower,male,42.0,1,adults
198,survived,lower,female,,1,Seniors
199,deceased,middle,female,24.0,1,adults
200,deceased,lower,male,28.0,1,adults
201,deceased,lower,male,,1,Seniors
202,deceased,lower,male,34.0,1,adults
203,deceased,lower,male,45.5,1,adults
204,survived,lower,male,18.0,1,children
205,deceased,lower,female,2.0,1,children
206,deceased,lower,male,32.0,1,adults
207,survived,lower,male,26.0,1,adults
208,survived,lower,female,16.0,1,children
209,survived,upper,male,40.0,1,adults
210,deceased,lower,male,24.0,1,adults
211,survived,middle,female,35.0,1,adults
212,deceased,lower,male,22.0,1,adults
213,deceased,middle,male,30.0,1,adults
214,deceased,lower,male,,1,Seniors
215,survived,upper,female,31.0,1,adults
216,survived,lower,female,27.0,1,adults
217,deceased,middle,male,42.0,1,adults
218,survived,upper,female,32.0,1,adults
219,deceased,middle,male,30.0,1,adults
220,survived,lower,male,16.0,1,children
221,deceased,middle,male,27.0,1,adults
222,deceased,lower,male,51.0,1,adults
223,deceased,lower,male,,1,Seniors
224,survived,upper,male,38.0,1,adults
225,deceased,lower,male,22.0,1,adults
226,survived,middle,male,19.0,1,Seniors
227,deceased,lower,male,20.5,1,adults
228,deceased,middle,male,18.0,1,children
229,deceased,lower,female,,1,Seniors
230,survived,upper,female,35.0,1,adults
231,deceased,lower,male,29.0,1,adults
232,deceased,middle,male,59.0,1,adults
233,survived,lower,female,5.0,1,children
234,deceased,middle,male,24.0,1,adults
235,deceased,lower,female,,1,Seniors
236,deceased,middle,male,44.0,1,adults
237,survived,middle,female,8.0,1,children
238,deceased,middle,male,19.0,1,Seniors
239,deceased,middle,male,33.0,1,adults
240,deceased,lower,female,,1,Seniors
241,survived,lower,female,,1,Seniors
242,deceased,middle,male,29.0,1,adults
243,deceased,lower,male,22.0,1,adults
244,deceased,lower,male,30.0,1,adults
245,deceased,upper,male,44.0,1,adults
246,deceased,lower,female,25.0,1,adults
247,survived,middle,female,24.0,1,adults
248,survived,upper,male,37.0,1,adults
249,deceased,middle,male,54.0,1,adults
250,deceased,lower,male,,1,Seniors
251,deceased,lower,female,29.0,1,adults
252,deceased,upper,male,62.0,1,adults
253,deceased,lower,male,30.0,1,adults
254,deceased,lower,female,41.0,1,adults
255,survived,lower,female,29.0,1,adults
256,survived,upper,female,,1,Seniors
257,survived,upper,female,30.0,1,adults
258,survived,upper,female,35.0,1,adults
259,survived,middle,female,50.0,1,adults
260,deceased,lower,male,,1,Seniors
261,survived,lower,male,3.0,1,children
262,deceased,upper,male,52.0,1,adults
263,deceased,upper,male,40.0,1,adults
264,deceased,lower,female,,1,Seniors
265,deceased,middle,male,36.0,1,adults
266,deceased,lower,male,16.0,1,children
267,survived,lower,male,25.0,1,adults
268,survived,upper,female,58.0,1,adults
269,survived,upper,female,35.0,1,adults
270,deceased,upper,male,,1,Seniors
271,survived,lower,male,25.0,1,adults
272,survived,middle,female,41.0,1,adults
273,deceased,upper,male,37.0,1,adults
274,survived,lower,female,,1,Seniors
275,survived,upper,female,63.0,1,adults
276,deceased,lower,female,45.0,1,adults
277,deceased,middle,male,,1,Seniors
278,deceased,lower,male,7.0,1,children
279,survived,lower,female,35.0,1,adults
280,deceased,lower,male,65.0,1,Seniors
281,deceased,lower,male,28.0,1,adults
282,deceased,lower,male,16.0,1,children
283,survived,lower,male,19.0,1,Seniors
284,deceased,upper,male,,1,Seniors
285,deceased,lower,male,33.0,1,adults
286,survived,lower,male,30.0,1,adults
287,deceased,lower,male,22.0,1,adults
288,survived,middle,male,42.0,1,adults
289,survived,lower,female,22.0,1,adults
290,survived,upper,female,26.0,1,adults
291,survived,upper,female,19.0,1,Seniors
292,deceased,middle,male,36.0,1,adults
293,deceased,lower,female,24.0,1,adults
294,deceased,lower,male,24.0,1,adults
295,deceased,upper,male,,1,Seniors
296,deceased,lower,male,23.5,1,adults
297,deceased,upper,female,2.0,1,children
298,survived,upper,male,,1,Seniors
299,survived,upper,female,50.0,1,adults
300,survived,lower,female,,1,Seniors
301,survived,lower,male,,1,Seniors
302,deceased,lower,male,19.0,1,Seniors
303,survived,middle,female,,1,Seniors
304,deceased,lower,male,,1,Seniors
305,survived,upper,male,0.92,1,children
306,survived,upper,female,,1,Seniors
