,Survival,Pclass,Sex,Age,Count,AgeGroup
0,deceased,lower,male,22.0,1,adults
1,survived,upper,female,38.0,1,adults
2,survived,lower,female,26.0,1,adults
3,survived,upper,female,35.0,1,adults
4,deceased,lower,male,35.0,1,adults
6,deceased,upper,male,54.0,1,adults
8,survived,lower,female,27.0,1,adults
11,survived,upper,female,58.0,1,adults
12,deceased,lower,male,20.0,1,adults
13,deceased,lower,male,39.0,1,adults
15,survived,middle,female,55.0,1,adults
18,deceased,lower,female,31.0,1,adults
20,deceased,middle,male,35.0,1,adults
21,survived,middle,male,34.0,1,adults
23,survived,upper,male,28.0,1,adults
25,survived,lower,female,38.0,1,adults
30,deceased,upper,male,40.0,1,adults
34,deceased,upper,male,28.0,1,adults
35,deceased,upper,male,42.0,1,adults
37,deceased,lower,male,21.0,1,adults
40,deceased,lower,female,40.0,1,adults
41,deceased,middle,female,27.0,1,adults
51,deceased,lower,male,21.0,1,adults
52,survived,upper,female,49.0,1,adults
53,survived,middle,female,29.0,1,adults
56,survived,middle,female,21.0,1,adults
57,deceased,lower,male,28.5,1,adults
60,deceased,lower,male,22.0,1,adults
61,survived,upper,female,38.0,1,adults
62,deceased,upper,male,45.0,1,adults
66,survived,middle,female,29.0,1,adults
69,deceased,lower,male,26.0,1,adults
70,deceased,middle,male,32.0,1,adults
72,deceased,middle,male,21.0,1,adults
73,deceased,lower,male,26.0,1,adults
74,survived,lower,male,32.0,1,adults
75,deceased,lower,male,25.0,1,adults
79,survived,lower,female,30.0,1,adults
80,deceased,lower,male,22.0,1,adults
81,survived,lower,male,29.0,1,adults
83,deceased,upper,male,28.0,1,adults
85,survived,lower,female,33.0,1,adults
88,survived,upper,female,23.0,1,adults
89,deceased,lower,male,24.0,1,adults
90,deceased,lower,male,29.0,1,adults
91,deceased,lower,male,20.0,1,adults
92,deceased,upper,male,46.0,1,adults
93,deceased,lower,male,26.0,1,adults
94,deceased,lower,male,59.0,1,adults
97,survived,upper,male,23.0,1,adults
98,survived,middle,female,34.0,1,adults
99,deceased,middle,male,34.0,1,adults
100,deceased,lower,female,28.0,1,adults
102,deceased,upper,male,21.0,1,adults
103,deceased,lower,male,33.0,1,adults
104,deceased,lower,male,37.0,1,adults
105,deceased,lower,male,28.0,1,adults
106,survived,lower,female,21.0,1,adults
108,deceased,lower,male,38.0,1,adults
110,deceased,upper,male,47.0,1,adults
112,deceased,lower,male,22.0,1,adults
113,deceased,lower,female,20.0,1,adults
115,deceased,lower,male,21.0,1,adults
117,deceased,middle,male,29.0,1,adults
118,deceased,upper,male,24.0,1,adults
120,deceased,middle,male,21.0,1,adults
122,deceased,middle,male,32.5,1,adults
123,survived,middle,female,32.5,1,adults
124,deceased,upper,male,54.0,1,adults
127,survived,lower,male,24.0,1,adults
129,deceased,lower,male,45.0,1,adults
130,deceased,lower,male,33.0,1,adults
131,deceased,lower,male,20.0,1,adults
132,deceased,lower,female,47.0,1,adults
133,survived,middle,female,29.0,1,adults
134,deceased,middle,male,25.0,1,adults
135,deceased,middle,male,23.0,1,adults
137,deceased,upper,male,37.0,1,adults
139,deceased,upper,male,24.0,1,adults
141,survived,lower,female,22.0,1,adults
142,survived,lower,female,24.0,1,adults
146,survived,lower,male,27.0,1,adults
148,deceased,middle,male,36.5,1,adults
149,deceased,middle,male,42.0,1,adults
150,deceased,middle,male,51.0,1,adults
151,survived,upper,female,22.0,1,adults
152,deceased,lower,male,55.5,1,adults
153,deceased,lower,male,40.5,1,adults
155,deceased,upper,male,51.0,1,adults
157,deceased,lower,male,30.0,1,adults
160,deceased,lower,male,44.0,1,adults
161,survived,middle,female,40.0,1,adults
162,deceased,lower,male,26.0,1,adults
167,deceased,lower,female,45.0,1,adults
169,deceased,lower,male,28.0,1,adults
170,deceased,upper,male,61.0,1,adults
173,deceased,lower,male,21.0,1,adults
174,deceased,upper,male,56.0,1,adults
177,deceased,upper,female,50.0,1,adults
178,deceased,middle,male,30.0,1,adults
179,deceased,lower,male,36.0,1,adults
187,survived,upper,male,45.0,1,adults
188,deceased,lower,male,40.0,1,adults
189,deceased,lower,male,36.0,1,adults
190,survived,middle,female,32.0,1,adults
194,survived,upper,female,44.0,1,adults
195,survived,upper,female,58.0,1,adults
197,deceased,lower,male,42.0,1,adults
199,deceased,middle,female,24.0,1,adults
200,deceased,lower,male,28.0,1,adults
202,deceased,lower,male,34.0,1,adults
203,deceased,lower,male,45.5,1,adults
206,deceased,lower,male,32.0,1,adults
207,survived,lower,male,26.0,1,adults
209,survived,upper,male,40.0,1,adults
210,deceased,lower,male,24.0,1,adults
211,survived,middle,female,35.0,1,adults
212,deceased,lower,male,22.0,1,adults
213,deceased,middle,male,30.0,1,adults
215,survived,upper,female,31.0,1,adults
216,survived,lower,female,27.0,1,adults
217,deceased,middle,male,42.0,1,adults
218,survived,upper,female,32.0,1,adults
219,deceased,middle,male,30.0,1,adults
221,deceased,middle,male,27.0,1,adults
222,deceased,lower,male,51.0,1,adults
224,survived,upper,male,38.0,1,adults
225,deceased,lower,male,22.0,1,adults
227,deceased,lower,male,20.5,1,adults
230,survived,upper,female,35.0,1,adults
231,deceased,lower,male,29.0,1,adults
232,deceased,middle,male,59.0,1,adults
234,deceased,middle,male,24.0,1,adults
236,deceased,middle,male,44.0,1,adults
239,deceased,middle,male,33.0,1,adults
242,deceased,middle,male,29.0,1,adults
243,deceased,lower,male,22.0,1,adults
244,deceased,lower,male,30.0,1,adults
245,deceased,upper,male,44.0,1,adults
246,deceased,lower,female,25.0,1,adults
247,survived,middle,female,24.0,1,adults
248,survived,upper,male,37.0,1,adults
249,deceased,middle,male,54.0,1,adults
251,deceased,lower,female,29.0,1,adults
252,deceased,upper,male,62.0,1,adults
253,deceased,lower,male,30.0,1,adults
254,deceased,lower,female,41.0,1,adults
255,survived,lower,female,29.0,1,adults
257,survived,upper,female,30.0,1,adults
258,survived,upper,female,35.0,1,adults
259,survived,middle,female,50.0,1,adults
262,deceased,upper,male,52.0,1,adults
263,deceased,upper,male,40.0,1,adults
265,deceased,middle,male,36.0,1,adults
267,survived,lower,male,25.0,1,adults
268,survived,upper,female,58.0,1,adults
269,survived,upper,female,35.0,1,adults
271,survived,lower,male,25.0,1,adults
272,survived,middle,female,41.0,1,adults
273,deceased,upper,male,37.0,1,adults
275,survived,upper,female,63.0,1,adults
276,deceased,lower,female,45.0,1,adults
279,survived,lower,female,35.0,1,adults
281,deceased,lower,male,28.0,1,adults
285,deceased,lower,male,33.0,1,adults
286,survived,lower,male,30.0,1,adults
287,deceased,lower,male,22.0,1,adults
288,survived,middle,male,42.0,1,adults
289,survived,lower,female,22.0,1,adults
290,survived,upper,female,26.0,1,adults
292,deceased,middle,male,36.0,1,adults
293,deceased,lower,female,24.0,1,adults
294,deceased,lower,male,24.0,1,adults
296,deceased,lower,male,23.5,1,adults
299,survived,upper,female,50.0,1,adults
308,deceased,middle,male,30.0,1,adults
309,survived,upper,female,30.0,1,adults
310,survived,upper,female,24.0,1,adults
312,deceased,middle,female,26.0,1,adults
313,deceased,lower,male,28.0,1,adults
314,deceased,middle,male,43.0,1,adults
315,survived,lower,female,26.0,1,adults
316,survived,middle,female,24.0,1,adults
317,deceased,middle,male,54.0,1,adults
318,survived,upper,female,31.0,1,adults
319,survived,upper,female,40.0,1,adults
320,deceased,lower,male,22.0,1,adults
321,deceased,lower,male,27.0,1,adults
322,survived,middle,female,30.0,1,adults
323,survived,middle,female,22.0,1,adults
325,survived,upper,female,36.0,1,adults
326,deceased,lower,male,61.0,1,adults
327,survived,middle,female,36.0,1,adults
328,survived,lower,female,31.0,1,adults
331,deceased,upper,male,45.5,1,adults
332,deceased,upper,male,38.0,1,adults
336,deceased,upper,male,29.0,1,adults
337,survived,upper,female,41.0,1,adults
338,survived,lower,male,45.0,1,adults
339,deceased,upper,male,45.0,1,adults
341,survived,upper,female,24.0,1,adults
342,deceased,middle,male,28.0,1,adults
343,deceased,middle,male,25.0,1,adults
344,deceased,middle,male,36.0,1,adults
345,survived,middle,female,24.0,1,adults
346,survived,middle,female,40.0,1,adults
349,deceased,lower,male,42.0,1,adults
350,deceased,lower,male,23.0,1,adults
353,deceased,lower,male,25.0,1,adults
355,deceased,lower,male,28.0,1,adults
356,survived,upper,female,22.0,1,adults
357,deceased,middle,female,38.0,1,adults
360,deceased,lower,male,40.0,1,adults
361,deceased,middle,male,29.0,1,adults
362,deceased,lower,female,45.0,1,adults
363,deceased,lower,male,35.0,1,adults
365,deceased,lower,male,30.0,1,adults
366,survived,upper,female,60.0,1,adults
369,survived,upper,female,24.0,1,adults
370,survived,upper,male,25.0,1,adults
373,deceased,upper,male,22.0,1,adults
376,survived,lower,female,22.0,1,adults
377,deceased,upper,male,27.0,1,adults
378,deceased,lower,male,20.0,1,adults
380,survived,upper,female,42.0,1,adults
382,deceased,lower,male,32.0,1,adults
383,survived,upper,female,35.0,1,adults
387,survived,middle,female,36.0,1,adults
390,survived,upper,male,36.0,1,adults
391,survived,lower,male,21.0,1,adults
392,deceased,lower,male,28.0,1,adults
393,survived,upper,female,23.0,1,adults
394,survived,lower,female,24.0,1,adults
395,deceased,lower,male,22.0,1,adults
396,deceased,lower,female,31.0,1,adults
397,deceased,middle,male,46.0,1,adults
398,deceased,middle,male,23.0,1,adults
399,survived,middle,female,28.0,1,adults
400,survived,lower,male,39.0,1,adults
401,deceased,lower,male,26.0,1,adults
402,deceased,lower,female,21.0,1,adults
403,deceased,lower,male,28.0,1,adults
404,deceased,lower,female,20.0,1,adults
405,deceased,middle,male,34.0,1,adults
406,deceased,lower,male,51.0,1,adults
408,deceased,lower,male,21.0,1,adults
412,survived,upper,female,33.0,1,adults
414,survived,lower,male,44.0,1,adults
416,survived,middle,female,34.0,1,adults
418,deceased,middle,male,30.0,1,adults
421,deceased,lower,male,21.0,1,adults
422,deceased,lower,male,29.0,1,adults
423,deceased,lower,female,28.0,1,adults
426,survived,middle,female,28.0,1,adults
429,survived,lower,male,32.0,1,adults
430,survived,upper,male,28.0,1,adults
432,survived,middle,female,42.0,1,adults
434,deceased,upper,male,50.0,1,adults
436,deceased,lower,female,21.0,1,adults
437,survived,middle,female,24.0,1,adults
438,deceased,upper,male,64.0,1,adults
439,deceased,middle,male,31.0,1,adults
440,survived,middle,female,45.0,1,adults
441,deceased,lower,male,20.0,1,adults
442,deceased,lower,male,25.0,1,adults
443,survived,middle,female,28.0,1,adults
447,survived,upper,male,34.0,1,adults
449,survived,upper,male,52.0,1,adults
450,deceased,middle,male,36.0,1,adults
452,deceased,upper,male,30.0,1,adults
453,survived,upper,male,49.0,1,adults
455,survived,lower,male,29.0,1,adults
458,survived,middle,female,50.0,1,adults
460,survived,upper,male,48.0,1,adults
461,deceased,lower,male,34.0,1,adults
462,deceased,upper,male,47.0,1,adults
463,deceased,middle,male,48.0,1,adults
465,deceased,lower,male,38.0,1,adults
467,deceased,upper,male,56.0,1,adults
471,deceased,lower,male,38.0,1,adults
472,survived,middle,female,33.0,1,adults
473,survived,middle,female,23.0,1,adults
474,deceased,lower,female,22.0,1,adults
476,deceased,middle,male,34.0,1,adults
477,deceased,lower,male,29.0,1,adults
478,deceased,lower,male,22.0,1,adults
482,deceased,lower,male,50.0,1,adults
483,survived,lower,female,63.0,1,adults
484,survived,upper,male,25.0,1,adults
486,survived,upper,female,35.0,1,adults
487,deceased,upper,male,58.0,1,adults
488,deceased,lower,male,30.0,1,adults
491,deceased,lower,male,21.0,1,adults
492,deceased,upper,male,55.0,1,adults
494,deceased,lower,male,21.0,1,adults
496,survived,upper,female,54.0,1,adults
498,deceased,upper,female,25.0,1,adults
499,deceased,lower,male,24.0,1,adults
501,deceased,lower,female,21.0,1,adults
503,deceased,lower,female,37.0,1,adults
506,survived,middle,female,33.0,1,adults
508,deceased,lower,male,28.0,1,adults
509,survived,lower,male,26.0,1,adults
